[10240, 10240, 0.0]
[2544, 10240, 0.0]
[7049, 8598, 0.0]
[128, 7014, 1.0]
[8617, 8739, 1.0]
[3285, 10240, 0.0]
[128, 6379, 1.0]
[128, 10240, 1.0]
[128, 3528, 0.0]
[9923, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[128, 8545, 0.0]
[10240, 10240, 0.0]
[128, 8627, 1.0]
[722, 9725, 0.0]
[10240, 10240, 1.0]
[128, 6379, 1.0]
[7018, 10240, 0.0]
[283, 10240, 1.0]
[2567, 10240, 1.0]
[4740, 10240, 1.0]
[6488, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[4313, 10240, 1.0]
[9211, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10092, 1.0]
[8403, 10240, 1.0]
[128, 8984, 1.0]
[8842, 10240, 1.0]
[2083, 10240, 0.0]
[10240, 10240, 0.0]
[1247, 10240, 0.0]
[10240, 10240, 0.0]
[6542, 10240, 0.0]
[10240, 10240, 0.0]
[2, 10240, 0.0]
[8054, 10240, 0.0]
[6493, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[5293, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[7754, 9488, 0.0]
[2, 9936, 1.0]
[795, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[128, 6942, 1.0]
[9373, 10111, 1.0]
[10240, 10240, 0.0]
[128, 10240, 1.0]
[128, 10240, 1.0]
[128, 9870, 1.0]
[10240, 10240, 0.0]
[128, 7550, 1.0]
[5452, 10240, 0.0]
[8230, 10240, 1.0]
[8374, 10240, 1.0]
[2536, 7045, 1.0]
[10240, 10240, 0.0]
[2, 10240, 1.0]
[128, 9559, 1.0]
[10240, 10240, 0.0]
[128, 6622, 1.0]
[6968, 10240, 0.0]
[3765, 10240, 1.0]
[3673, 10095, 1.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[128, 10240, 1.0]
[9196, 10240, 1.0]
[2, 3869, 0.0]
[9012, 9333, 0.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[7934, 10240, 0.0]
[5772, 10240, 0.0]
[6203, 10240, 0.0]
[9908, 10240, 1.0]
[3570, 10240, 1.0]
[128, 10240, 1.0]
[128, 8522, 0.0]
